Epoch,Loss,Accuracy,Precision,Recall,F1-Score
1,-0.00962390931670928,0.09882,0.10003983,0.23608,0.14052962309608724
2,-0.0051602147367146925,0.09822,0.09986159,0.3694,0.1572208956755986
3,0.008401035557470054,0.09966,0.100272544,0.33112,0.15393051223953672
4,0.019178763289204644,0.09792,0.099437624,0.2921,0.148367465611418
5,0.06437640654309021,0.10164,0.10071534,0.2554,0.14446269047756374
6,0.026754798477186877,0.10104,0.09977194,0.28436,0.14771560291064684
7,-0.0043008390461544855,0.10016,0.100009896,0.4447,0.1632956944974859
8,0.0038181694076799065,0.10038,0.099840775,0.45148,0.1635204248925742
9,0.0037289952187586927,0.10004,0.1000289,0.41532,0.1612266808124934
10,0.03900798492114562,0.09868,0.099976346,0.3719,0.15758872659193873
